Date,Count
01-Jan-20,12
02-Jan-20,8
03-Jan-20,20
04-Jan-20,17
05-Jan-20,21
06-Jan-20,13
07-Jan-20,17
08-Jan-20,13
09-Jan-20,13
10-Jan-20,11
11-Jan-20,20
12-Jan-20,16
13-Jan-20,18
14-Jan-20,17
15-Jan-20,11
16-Jan-20,17
17-Jan-20,13
18-Jan-20,19
19-Jan-20,12
20-Jan-20,13
21-Jan-20,16
22-Jan-20,14
23-Jan-20,15
24-Jan-20,17
25-Jan-20,17
26-Jan-20,14
27-Jan-20,18
28-Jan-20,20
29-Jan-20,20
30-Jan-20,7
31-Jan-20,18
01-Feb-20,17
02-Feb-20,19
03-Feb-20,18
04-Feb-20,17
05-Feb-20,18
06-Feb-20,11
07-Feb-20,14
08-Feb-20,17
09-Feb-20,18
10-Feb-20,20
11-Feb-20,19
12-Feb-20,17
13-Feb-20,19
14-Feb-20,14
15-Feb-20,18
16-Feb-20,15
17-Feb-20,21
18-Feb-20,15
19-Feb-20,12
20-Feb-20,13
21-Feb-20,10
22-Feb-20,11
23-Feb-20,7
24-Feb-20,8
25-Feb-20,7
26-Feb-20,7
27-Feb-20,13
28-Feb-20,12
29-Feb-20,9
01-Mar-20,9
02-Mar-20,8
03-Mar-20,17
04-Mar-20,13
05-Mar-20,14
06-Mar-20,14
07-Mar-20,15
08-Mar-20,11
09-Mar-20,8
10-Mar-20,13
11-Mar-20,15
12-Mar-20,12
13-Mar-20,13
14-Mar-20,17
15-Mar-20,12
16-Mar-20,12
17-Mar-20,16
18-Mar-20,18
19-Mar-20,11
20-Mar-20,9
21-Mar-20,8
22-Mar-20,12
23-Mar-20,9
24-Mar-20,19
25-Mar-20,15
26-Mar-20,13
27-Mar-20,17
28-Mar-20,16
29-Mar-20,11
30-Mar-20,13
31-Mar-20,24
01-Apr-20,13
02-Apr-20,18
03-Apr-20,6
04-Apr-20,8
05-Apr-20,15
06-Apr-20,17
07-Apr-20,13
08-Apr-20,12
09-Apr-20,12
10-Apr-20,17
11-Apr-20,17
12-Apr-20,11
13-Apr-20,12
14-Apr-20,18
15-Apr-20,12
16-Apr-20,15
17-Apr-20,13
18-Apr-20,17
19-Apr-20,13
20-Apr-20,13
21-Apr-20,11
22-Apr-20,7
23-Apr-20,14
24-Apr-20,11
25-Apr-20,13
26-Apr-20,10
27-Apr-20,13
28-Apr-20,16
29-Apr-20,19
30-Apr-20,7
01-May-20,13
02-May-20,12
03-May-20,7
04-May-20,8
05-May-20,12
06-May-20,14
07-May-20,13
08-May-20,11
09-May-20,14
10-May-20,11
11-May-20,21
12-May-20,15
13-May-20,15
14-May-20,9
15-May-20,10
16-May-20,19
17-May-20,9
18-May-20,15
19-May-20,16
20-May-20,17
21-May-20,18
22-May-20,12
23-May-20,17
24-May-20,17
25-May-20,12
26-May-20,13
27-May-20,11
28-May-20,17
29-May-20,11
30-May-20,18
31-May-20,13
01-Jun-20,16
02-Jun-20,13
03-Jun-20,10
04-Jun-20,9
05-Jun-20,11
06-Jun-20,9
07-Jun-20,21
08-Jun-20,12
09-Jun-20,10
10-Jun-20,15
11-Jun-20,14
12-Jun-20,17
13-Jun-20,16
14-Jun-20,8
15-Jun-20,11
16-Jun-20,10
17-Jun-20,18
18-Jun-20,15
19-Jun-20,14
20-Jun-20,19
21-Jun-20,11
22-Jun-20,14
23-Jun-20,10
24-Jun-20,13
25-Jun-20,15
26-Jun-20,16
27-Jun-20,12
28-Jun-20,16
29-Jun-20,23
30-Jun-20,20
