Date,Size_Class,Count
01-Jan-20,MEDIUM,12
01-Jan-20,SMALL,12
01-Jan-20,LARGE,15
02-Jan-20,MEDIUM,8
02-Jan-20,SMALL,16
02-Jan-20,LARGE,20
03-Jan-20,SMALL,12
03-Jan-20,MEDIUM,20
03-Jan-20,LARGE,22
04-Jan-20,SMALL,12
04-Jan-20,MEDIUM,17
04-Jan-20,LARGE,19
05-Jan-20,SMALL,14
05-Jan-20,LARGE,15
05-Jan-20,MEDIUM,21
06-Jan-20,MEDIUM,13
06-Jan-20,SMALL,14
06-Jan-20,LARGE,19
07-Jan-20,MEDIUM,17
07-Jan-20,SMALL,19
07-Jan-20,LARGE,21
08-Jan-20,MEDIUM,13
08-Jan-20,SMALL,20
08-Jan-20,LARGE,22
09-Jan-20,MEDIUM,13
09-Jan-20,SMALL,14
09-Jan-20,LARGE,15
10-Jan-20,MEDIUM,11
10-Jan-20,SMALL,11
10-Jan-20,LARGE,26
11-Jan-20,SMALL,12
11-Jan-20,MEDIUM,20
11-Jan-20,LARGE,24
12-Jan-20,LARGE,11
12-Jan-20,MEDIUM,16
12-Jan-20,SMALL,17
13-Jan-20,LARGE,12
13-Jan-20,SMALL,15
13-Jan-20,MEDIUM,18
14-Jan-20,LARGE,14
14-Jan-20,MEDIUM,17
14-Jan-20,SMALL,17
15-Jan-20,MEDIUM,11
15-Jan-20,SMALL,16
15-Jan-20,LARGE,22
16-Jan-20,MEDIUM,17
16-Jan-20,SMALL,20
16-Jan-20,LARGE,21
17-Jan-20,MEDIUM,13
17-Jan-20,SMALL,15
17-Jan-20,LARGE,16
18-Jan-20,SMALL,12
18-Jan-20,MEDIUM,19
18-Jan-20,LARGE,20
19-Jan-20,MEDIUM,12
19-Jan-20,LARGE,14
19-Jan-20,SMALL,17
20-Jan-20,MEDIUM,13
20-Jan-20,SMALL,15
20-Jan-20,LARGE,16
21-Jan-20,SMALL,15
21-Jan-20,MEDIUM,16
21-Jan-20,LARGE,17
22-Jan-20,MEDIUM,14
22-Jan-20,SMALL,17
22-Jan-20,LARGE,25
23-Jan-20,MEDIUM,15
23-Jan-20,SMALL,17
23-Jan-20,LARGE,18
24-Jan-20,SMALL,16
24-Jan-20,LARGE,17
24-Jan-20,MEDIUM,17
25-Jan-20,SMALL,11
25-Jan-20,LARGE,13
25-Jan-20,MEDIUM,17
26-Jan-20,SMALL,8
26-Jan-20,MEDIUM,14
26-Jan-20,LARGE,21
27-Jan-20,LARGE,10
27-Jan-20,SMALL,10
27-Jan-20,MEDIUM,18
28-Jan-20,SMALL,15
28-Jan-20,LARGE,19
28-Jan-20,MEDIUM,20
29-Jan-20,SMALL,13
29-Jan-20,MEDIUM,20
29-Jan-20,LARGE,21
30-Jan-20,MEDIUM,7
30-Jan-20,LARGE,17
30-Jan-20,SMALL,19
31-Jan-20,SMALL,13
31-Jan-20,LARGE,18
31-Jan-20,MEDIUM,18
01-Feb-20,MEDIUM,17
01-Feb-20,SMALL,18
01-Feb-20,LARGE,20
02-Feb-20,SMALL,16
02-Feb-20,MEDIUM,19
02-Feb-20,LARGE,20
03-Feb-20,SMALL,8
03-Feb-20,LARGE,16
03-Feb-20,MEDIUM,18
04-Feb-20,SMALL,15
04-Feb-20,MEDIUM,17
04-Feb-20,LARGE,19
05-Feb-20,SMALL,11
05-Feb-20,LARGE,13
05-Feb-20,MEDIUM,18
06-Feb-20,MEDIUM,11
06-Feb-20,LARGE,15
06-Feb-20,SMALL,15
07-Feb-20,MEDIUM,14
07-Feb-20,SMALL,15
07-Feb-20,LARGE,19
08-Feb-20,SMALL,14
08-Feb-20,MEDIUM,17
08-Feb-20,LARGE,20
09-Feb-20,SMALL,17
09-Feb-20,MEDIUM,18
09-Feb-20,LARGE,22
10-Feb-20,SMALL,13
10-Feb-20,LARGE,16
10-Feb-20,MEDIUM,20
11-Feb-20,SMALL,14
11-Feb-20,LARGE,19
11-Feb-20,MEDIUM,19
12-Feb-20,LARGE,13
12-Feb-20,SMALL,16
12-Feb-20,MEDIUM,17
13-Feb-20,SMALL,7
13-Feb-20,MEDIUM,19
13-Feb-20,LARGE,21
14-Feb-20,MEDIUM,14
14-Feb-20,SMALL,14
14-Feb-20,LARGE,15
15-Feb-20,SMALL,17
15-Feb-20,MEDIUM,18
15-Feb-20,LARGE,23
16-Feb-20,SMALL,11
16-Feb-20,MEDIUM,15
16-Feb-20,LARGE,21
17-Feb-20,SMALL,10
17-Feb-20,LARGE,17
17-Feb-20,MEDIUM,21
18-Feb-20,SMALL,14
18-Feb-20,MEDIUM,15
18-Feb-20,LARGE,18
19-Feb-20,MEDIUM,12
19-Feb-20,SMALL,12
19-Feb-20,LARGE,19
20-Feb-20,MEDIUM,13
20-Feb-20,SMALL,15
20-Feb-20,LARGE,21
21-Feb-20,SMALL,9
21-Feb-20,MEDIUM,10
21-Feb-20,LARGE,19
22-Feb-20,MEDIUM,11
22-Feb-20,SMALL,13
22-Feb-20,LARGE,25
23-Feb-20,SMALL,3
23-Feb-20,MEDIUM,7
23-Feb-20,LARGE,19
24-Feb-20,MEDIUM,8
24-Feb-20,SMALL,9
24-Feb-20,LARGE,13
25-Feb-20,MEDIUM,7
25-Feb-20,SMALL,8
25-Feb-20,LARGE,18
26-Feb-20,SMALL,6
26-Feb-20,MEDIUM,7
26-Feb-20,LARGE,15
27-Feb-20,SMALL,6
27-Feb-20,MEDIUM,13
27-Feb-20,LARGE,14
28-Feb-20,SMALL,9
28-Feb-20,MEDIUM,12
28-Feb-20,LARGE,22
29-Feb-20,MEDIUM,9
29-Feb-20,SMALL,12
29-Feb-20,LARGE,17
01-Mar-20,MEDIUM,9
01-Mar-20,SMALL,9
01-Mar-20,LARGE,15
02-Mar-20,MEDIUM,8
02-Mar-20,LARGE,10
02-Mar-20,SMALL,10
03-Mar-20,SMALL,14
03-Mar-20,LARGE,17
03-Mar-20,MEDIUM,17
04-Mar-20,MEDIUM,13
04-Mar-20,SMALL,13
04-Mar-20,LARGE,21
05-Mar-20,SMALL,9
05-Mar-20,LARGE,13
05-Mar-20,MEDIUM,14
06-Mar-20,MEDIUM,14
06-Mar-20,SMALL,14
06-Mar-20,LARGE,19
07-Mar-20,SMALL,10
07-Mar-20,MEDIUM,15
07-Mar-20,LARGE,18
08-Mar-20,MEDIUM,11
08-Mar-20,SMALL,12
08-Mar-20,LARGE,24
09-Mar-20,MEDIUM,8
09-Mar-20,SMALL,9
09-Mar-20,LARGE,19
10-Mar-20,MEDIUM,13
10-Mar-20,LARGE,14
10-Mar-20,SMALL,14
11-Mar-20,MEDIUM,15
11-Mar-20,SMALL,15
11-Mar-20,LARGE,26
12-Mar-20,MEDIUM,12
12-Mar-20,LARGE,16
12-Mar-20,SMALL,18
13-Mar-20,MEDIUM,13
13-Mar-20,SMALL,13
13-Mar-20,LARGE,17
14-Mar-20,SMALL,14
14-Mar-20,MEDIUM,17
14-Mar-20,LARGE,19
15-Mar-20,MEDIUM,12
15-Mar-20,SMALL,14
15-Mar-20,LARGE,20
16-Mar-20,MEDIUM,12
16-Mar-20,LARGE,15
16-Mar-20,SMALL,16
17-Mar-20,LARGE,16
17-Mar-20,MEDIUM,16
17-Mar-20,SMALL,16
18-Mar-20,SMALL,16
18-Mar-20,MEDIUM,18
18-Mar-20,LARGE,24
19-Mar-20,MEDIUM,11
19-Mar-20,LARGE,13
19-Mar-20,SMALL,19
20-Mar-20,MEDIUM,9
20-Mar-20,SMALL,11
20-Mar-20,LARGE,22
21-Mar-20,MEDIUM,8
21-Mar-20,SMALL,16
21-Mar-20,LARGE,17
22-Mar-20,SMALL,10
22-Mar-20,MEDIUM,12
22-Mar-20,LARGE,17
23-Mar-20,MEDIUM,9
23-Mar-20,SMALL,10
23-Mar-20,LARGE,16
24-Mar-20,SMALL,15
24-Mar-20,LARGE,19
24-Mar-20,MEDIUM,19
25-Mar-20,SMALL,11
25-Mar-20,MEDIUM,15
25-Mar-20,LARGE,18
26-Mar-20,SMALL,9
26-Mar-20,MEDIUM,13
26-Mar-20,LARGE,19
27-Mar-20,SMALL,10
27-Mar-20,LARGE,13
27-Mar-20,MEDIUM,17
28-Mar-20,SMALL,12
28-Mar-20,MEDIUM,16
28-Mar-20,LARGE,20
29-Mar-20,MEDIUM,11
29-Mar-20,SMALL,11
29-Mar-20,LARGE,24
30-Mar-20,MEDIUM,13
30-Mar-20,SMALL,17
30-Mar-20,LARGE,20
31-Mar-20,SMALL,14
31-Mar-20,LARGE,15
31-Mar-20,MEDIUM,24
01-Apr-20,SMALL,12
01-Apr-20,MEDIUM,13
01-Apr-20,LARGE,20
02-Apr-20,SMALL,7
02-Apr-20,LARGE,17
