Date,Count
01-Jan-20,12
02-Jan-20,16
03-Jan-20,12
04-Jan-20,12
05-Jan-20,14
06-Jan-20,14
07-Jan-20,19
08-Jan-20,20
09-Jan-20,14
10-Jan-20,11
11-Jan-20,12
12-Jan-20,17
13-Jan-20,15
14-Jan-20,17
15-Jan-20,16
16-Jan-20,20
17-Jan-20,15
18-Jan-20,12
19-Jan-20,17
20-Jan-20,15
21-Jan-20,15
22-Jan-20,17
23-Jan-20,17
24-Jan-20,16
25-Jan-20,11
26-Jan-20,8
27-Jan-20,10
28-Jan-20,15
29-Jan-20,13
30-Jan-20,19
31-Jan-20,13
01-Feb-20,18
02-Feb-20,16
03-Feb-20,8
04-Feb-20,15
05-Feb-20,11
06-Feb-20,15
07-Feb-20,15
08-Feb-20,14
09-Feb-20,17
10-Feb-20,13
11-Feb-20,14
12-Feb-20,16
13-Feb-20,7
14-Feb-20,14
15-Feb-20,17
16-Feb-20,11
17-Feb-20,10
18-Feb-20,14
19-Feb-20,12
20-Feb-20,15
21-Feb-20,9
22-Feb-20,13
23-Feb-20,3
24-Feb-20,9
25-Feb-20,8
26-Feb-20,6
27-Feb-20,6
28-Feb-20,9
29-Feb-20,12
01-Mar-20,9
02-Mar-20,10
03-Mar-20,14
04-Mar-20,13
05-Mar-20,9
06-Mar-20,14
07-Mar-20,10
08-Mar-20,12
09-Mar-20,9
10-Mar-20,14
11-Mar-20,15
12-Mar-20,18
13-Mar-20,13
14-Mar-20,14
15-Mar-20,14
16-Mar-20,16
17-Mar-20,16
18-Mar-20,16
19-Mar-20,19
20-Mar-20,11
21-Mar-20,16
22-Mar-20,10
23-Mar-20,10
24-Mar-20,15
25-Mar-20,11
26-Mar-20,9
27-Mar-20,10
28-Mar-20,12
29-Mar-20,11
30-Mar-20,17
31-Mar-20,14
01-Apr-20,12
02-Apr-20,7
03-Apr-20,4
04-Apr-20,7
05-Apr-20,10
06-Apr-20,10
07-Apr-20,10
08-Apr-20,9
09-Apr-20,13
10-Apr-20,13
11-Apr-20,12
12-Apr-20,9
13-Apr-20,15
14-Apr-20,13
15-Apr-20,8
16-Apr-20,10
17-Apr-20,9
18-Apr-20,10
19-Apr-20,10
20-Apr-20,14
21-Apr-20,9
22-Apr-20,6
23-Apr-20,5
24-Apr-20,8
25-Apr-20,8
26-Apr-20,6
27-Apr-20,9
28-Apr-20,7
29-Apr-20,11
30-Apr-20,13
01-May-20,7
02-May-20,12
03-May-20,10
04-May-20,10
05-May-20,11
06-May-20,11
07-May-20,13
08-May-20,8
09-May-20,6
10-May-20,12
11-May-20,14
12-May-20,9
13-May-20,10
14-May-20,9
15-May-20,8
16-May-20,9
17-May-20,6
18-May-20,13
19-May-20,9
20-May-20,8
21-May-20,9
22-May-20,8
23-May-20,11
24-May-20,10
25-May-20,5
26-May-20,7
27-May-20,9
28-May-20,7
29-May-20,5
30-May-20,10
31-May-20,4
01-Jun-20,7
02-Jun-20,10
03-Jun-20,6
04-Jun-20,15
05-Jun-20,9
06-Jun-20,6
07-Jun-20,10
08-Jun-20,14
09-Jun-20,11
10-Jun-20,13
11-Jun-20,11
12-Jun-20,11
13-Jun-20,9
14-Jun-20,6
15-Jun-20,7
16-Jun-20,13
17-Jun-20,9
18-Jun-20,9
19-Jun-20,6
20-Jun-20,9
21-Jun-20,7
22-Jun-20,6
23-Jun-20,10
24-Jun-20,10
25-Jun-20,9
26-Jun-20,10
27-Jun-20,9
28-Jun-20,7
29-Jun-20,11
30-Jun-20,9
